ID,TargetF1,TargetRAUC
ID_E760D84B,0,0
ID_6EDEA907,0,0
ID_B9FFC8D8,0,0
ID_74C6C94E,0,0
ID_0E02825D,0,0
ID_DA1C6468,0,0
ID_82EBD610,0,0
ID_791C412A,0,0
ID_8FB9365C,0,0
ID_724491A7,0,0
ID_95C83AE3,0,0
ID_6650ABA4,0,0
ID_92412BFC,0,0
ID_257F4327,0,0
ID_CD7A50F0,0,0
ID_8A80F1B6,0,0
ID_90DB7797,0,0
ID_4FF46045,0,0
ID_33E6AFA0,0,0
ID_FF308DAB,0,0
ID_E6335ACF,0,0
ID_00A5C192,0,0
ID_C644EA64,0,0
ID_B922D5B3,0,0
ID_4922E479,0,0
ID_1B6F3B46,0,0
ID_1E3C23E7,0,0
ID_C9E61B00,0,0
ID_3A4C3214,0,0
ID_B70DC075,0,0
ID_37FEC45E,0,0
ID_04E5F26F,0,0
ID_CED509CF,0,0
ID_DCD98292,0,0
ID_FEFAA255,0,0
ID_1C24DA16,0,0
ID_0FB18B11,0,0
ID_EB1ED24C,0,0
ID_E987B903,0,0
ID_F1BC780A,0,0
ID_BA6C0C58,0,0
ID_A7CB9837,0,0
ID_5FCD1EA3,0,0
ID_81A71445,0,0
ID_667AEDE0,0,0
ID_2321FB97,0,0
ID_4738ABDA,0,0
ID_6DF23A45,0,0
ID_5033C878,0,0
ID_64691B48,0,0
ID_B7A3CC04,0,0
ID_B2F4942A,0,0
ID_4DA54BA7,0,0
ID_37CDF050,0,0
ID_BF308F64,0,0
ID_23C954B8,0,0
ID_2CAB42BB,0,0
ID_28FC36FB,0,0
ID_E9FB2EE0,0,0
ID_40E0E560,0,0
ID_6390D5E3,0,0
ID_14816EA6,0,0
ID_0BA591EF,0,0
ID_3FE2AD00,0,0
ID_ECE8827F,0,0
ID_E8447477,0,0
ID_FC0EEFB3,0,0
ID_C04F966D,0,0
ID_8A1BB4B5,0,0
ID_8F7535A8,0,0
ID_F0E81248,0,0
ID_BEE12475,0,0
ID_3C31D099,0,0
ID_9251B100,0,0
ID_9B7CB467,0,0
ID_1361BD75,0,0
ID_794D8957,0,0
ID_DFEC4687,0,0
ID_2942441F,0,0
ID_A0D3A8EC,0,0
ID_4B2DB0F9,0,0
ID_D84255BD,0,0
ID_6AAEAE8D,0,0
ID_85FA5EED,0,0
ID_8AEFEADB,0,0
ID_019770DF,0,0
ID_993EA802,0,0
ID_84316E57,0,0
ID_B05DFB77,0,0
ID_8DF97D0F,0,0
ID_7E9F2BAA,0,0
ID_68029D80,0,0
ID_85B6C676,0,0
ID_DF32D72E,0,0
ID_471C11AC,0,0
ID_4C672D7E,0,0
ID_2B9DF127,0,0
ID_1F7E202E,0,0
ID_EEFE9B75,0,0
ID_D12EA07C,0,0
ID_88FCF4B6,0,0
ID_6E5C17E5,0,0
ID_F59245FC,0,0
ID_0562A431,0,0
ID_56C774E2,0,0
ID_C640170D,0,0
ID_A2C7F38C,0,0
ID_032EDDF5,0,0
ID_3DAA458C,0,0
ID_9435A135,0,0
ID_532CCEE8,0,0
ID_AA78D0D0,0,0
ID_02E167CB,0,0
ID_B366A33F,0,0
ID_3C0F4D77,0,0
ID_96239BA8,0,0
ID_AF250671,0,0
ID_7FA74CD1,0,0
ID_7FF7F248,0,0
